Name,.fi,.io,.xyz,.com,.finance,.co,.tech,.money,.sol,.solana,USPTO,EUIPO,INPI-BR,Crypto Conflict,Google P1,X,IG,TG,Brand /10,Rationale,Fatal Flags
Greeny,✗,✗,✗,✗,✓,✗,✗,✓,"AVAILABLE ([sns.id](https://www.sns.id/), [bonfida.org](https://www.bonfida.org/))",UNCLEAR ([freename.io](https://freename.io/)),CLEAR,CLEAR,CLEAR,CLEAR,"OCCUPIED (slang dictionary entry, YouTube channels, TikTok/Instagram creators, hockey personality)",AVAILABLE,AVAILABLE,AVAILABLE,5,Cute but childish; associations with eco/green rather than finance.,NONE
Greenies,✓,✗,✗,✗,✓,✗,✓,✓,"AVAILABLE ([SNS.id](https://www.sns.id/search?query=Greenies) no registration found, [Bonfida](https://www.bonfida.org) no mention)",UNCLEAR ([Freename.io](https://freename.io/?q=Greenies) search unavailable),"CONFLICT (Mars Petcare, class 31 pet treats but strong brand; no direct 9/36/42 found but RISK due to fame) ([USPTO TESS](https://tmsearch.uspto.gov/))",CLEAR (no results [EUIPO eSearch](https://euipo.europa.eu/eSearch/)),CLEAR (no results [INPI BR](https://inpi.gov.br/)),"CLEAR (no major token/protocol [CoinMarketCap](https://coinmarketcap.com), [CoinGecko](https://www.coingecko.com), [DeFiLlama](https://defillama.com))","OCCUPIED (dog dental treats brand by Mars, dominates all top results: official site, PetSmart, Chewy, Instagram)","TAKEN (by Greenies dog treats brand, 10.6K followers)","TAKEN (Greenies dog treats, 68K followers)",UNCLEAR,4,"Childish, US-slang for cash, and reads as the pet dental-chew brand.",NONE
Flouz,✓,✓,✗,✗,✓,✗,✓,✓,"AVAILABLE (no registration found on sns.id or bonfida.org; no listings on Magic Eden/Tensor) [sns.id](https://sns.id/flouz.sol), [Bonfida](https://bonfida.org/domains/Flouz.sol)",AVAILABLE (no info found; domain page unavailable) [Freename](https://freename.io/domains/Flouz.solana),"CLEAR (no live marks found in classes 9,36,42)","CLEAR (no conflicts in 9,36,42; unrelated 'Flou' clothing class 25)",CLEAR (no marks found),CLEAR (no Flouz token/project on CMC/CG/DeFiLlama),"OCCUPIED (mostly German rap songs by Azet/Summer Cem/Nibor, music artists, flouz.store apparel brand, Wiktionary slang for money (French))",AVAILABLE (no profile found at twitter.com/Flouz),TAKEN (private/empty profile),AVAILABLE (no channel found),7,"French slang for money; short, phonetic, international feel; pronounces cleanly in EN/PT/ES/FR.",NONE
Flouze,✓,✓,✓,✗,✓,✓,✓,✓,"AVAILABLE ([sns.id](https://www.sns.id/), [Bonfida](https://bonfida.org/)). No registration or listing found on SNS search, Magic Eden, or Tensor.",AVAILABLE ([freename.io](https://freename.io)). No registration found.,"CLEAR. No live marks found in classes 9,36,42 ([tmsearch.uspto.gov](https://tmsearch.uspto.gov/)).","CLEAR. No live conflicts found in classes 9,36,42 ([euipo.europa.eu/eSearch](https://euipo.europa.eu/eSearch/)).",CLEAR. No live Brazilian marks found ([busca.inpi.gov.br](https://busca.inpi.gov.br/pePI/)).,"CLEAR. No tokens or protocols named Flouze on CoinMarketCap, CoinGecko, DeFiLlama.","OCCUPIED (French slang for money/dough on [Wiktionary](https://en.wiktionary.org/wiki/flouze), music tracks on Spotify/YouTube, minor bands).","TAKEN (personal account, Florian Convers).",AVAILABLE. No exact @flouze found; variants like @flouze.flouze exist with low activity.,AVAILABLE. No t.me/flouze found.,7,Same as Flouz with softer end; slightly less punchy but equally pronounceable.,NONE
Biftons,✓,✓,✓,✓,✓,✓,✓,✓,"AVAILABLE ([sns.id](https://www.sns.id/search?query=Biftons), [sns.id/Biftons.sol](https://www.sns.id/Biftons.sol), no listings on Magic Eden/Tensor)",AVAILABLE ([freename.io](https://freename.io/domains/Biftons.solana)),CLEAR ([tmsearch.uspto.gov](https://tmsearch.uspto.gov)),CLEAR ([euipo.europa.eu/eSearch](https://euipo.europa.eu/eSearch/)),CLEAR ([busca.inpi.gov.br/marcas](https://servicos.busca.inpi.gov.br/marcas)),"CLEAR ([CoinMarketCap](https://coinmarketcap.com), [CoinGecko](https://www.coingecko.com), [DeFiLlama](https://defillama.com))",OCCUPIED (French slang dictionary entries for 'biftons' meaning banknotes/money),"TAKEN (inactive account EasyRider, 0 followers [x.com/Biftons](https://x.com/Biftons))",AVAILABLE ([instagram.com/Biftons](https://www.instagram.com/Biftons)),AVAILABLE ([t.me/Biftons](https://t.me/Biftons)),4,French slang for banknotes; awkward plural and looks like a kid's toy brand.,NONE
Pépètes,✓,✓,✓,✗,✓,✓,✓,✓,"AVAILABLE (no listings on sns.id, v1.sns.id, Magic Eden, Tensor; no registration evidence) [sns.id](https://sns.id), [v1.sns.id](https://v1.sns.id)",AVAILABLE (no listings or mentions on freename.io searches) [freename.com](https://freename.com),"CLEAR (no live marks found in classes 9,36,42 on tmsearch.uspto.gov)",CLEAR (no results on euipo.europa.eu eSearch),CLEAR (no results on inpi.gov.br BuscaWeb),"CLEAR (no Pépètes token/project on CoinMarketCap, CoinGecko, DeFiLlama)","OCCUPIED (French slang for money from pépite 'nugget', song by Java, pronunciation videos) [Le Robert](https://dictionnaire.lerobert.com/en/definition/pepetes), [YouTube Java](https://www.youtube.com/watch?v=MJoEGlwEclU)",AVAILABLE (twitter.com/Pépètes & twitter.com/pepetes not resolving to profiles),AVAILABLE (instagram.com/Pépètes & instagram.com/pepetes not found),"AVAILABLE (t.me/Pépètes shows generic Telegram page, no channel)",3,French slang but accented characters kill domain/handle portability; sounds cutesy.,Accented characters break domains/handles; infantile tone
Fric,✓,✗,✗,✗,✓,✓,✓,✓,"AVAILABLE ([sns.id](https://www.sns.id), [bonfida](https://sns.id))",UNCLEAR ([freename.io](https://freename.io)),CLEAR,CLEAR,CLEAR,"CONFLICT (Fric memecoin Solana [CoinMarketCap](https://coinmarketcap.com/currencies/fric/), [CoinGecko](https://www.coingecko.com/en/coins/fric))","OCCUPIED (Fric Solana memecoin on Coinbase/CoinMarketCap/CoinGecko, Fric frog Twitter/Instagram, fric French slang for money, fricshop.com merchandise)",TAKEN (Eduard F. Vinyamata personal account),AVAILABLE,AVAILABLE,6,French slang for cash; short and punchy but phonetic to 'freak' in English; also a Czech word for fried dough.,Phonetic to 'freak' in English
Shushu,✓,✗,✗,✗,✓,✗,✓,✓,"UNCLEAR. No evidence of registration on sns.id [sns.id](https://v1.sns.id/), bonfida.org [bonfida.org](https://bonfida.org/), or marketplaces like Tensor [tensor.trade](https://www.tensor.trade/trade/sns_domains). SHUSHU token exists on Solana [CoinSwitch](https://coinswitch.co/web3/shushu-6pQpMYjKzFFm7jXFMGTRa1KfGyYL3UxPrdvMULaRpump) but no .sol link.",UNCLEAR. No evidence found on freename.io searches or sites.,"RISK (SHUSHU registered #7627964 by Klaus Moeller, serial 98113435; classes unknown from TTABVUE [ttabvue.uspto.gov](https://ttabvue.uspto.gov/ttabvue/v?pnam=hilsbos+LLC++)).",CLEAR. No results [euipo.europa.eu].,CLEAR. No results [inpi.gov.br].,"CONFLICT (SHUSHU token on Solana [CoinSwitch](https://coinswitch.co/web3/shushu-6pQpMYjKzFFm7jXFMGTRa1KfGyYL3UxPrdvMULaRpump); minor tokens on Dextools, Phantom).","OCCUPIED (anime character Shushu Suruga [Fandom](https://mato-seihei-no-slave.fandom.com/wiki/Shushu_Suruga), fashion brand SHUSHU/TONG [Farfetch](https://www.farfetch.com/shopping/women/shushu-tong/items.aspx), musicians, mixed unrelated).","TAKEN (shushu @shushu, joined 2013, 19.9K posts [x.com](https://x.com/Shushu)).",TAKEN (likely SHUSHU/TONG fashion @shushu__tong 327K followers or others).,UNCLEAR.,3,Arabic/PT slang in some regions; reduplicative sound is infantile for a finance brand.,Reduplicative/infantile; diminutive meanings in several languages
Bufunfi,✓,✓,✓,✓,✓,✓,✓,✓,"AVAILABLE ([sns.id](https://www.sns.id/), [bonfida.org](https://www.bonfida.org/))",AVAILABLE ([freename.io](https://freename.io/)),CLEAR,CLEAR,CLEAR,CLEAR,"OCCUPIED (Brazilian Portuguese slang dictionary entries for \""bufunfa\"" meaning money)",AVAILABLE,AVAILABLE,AVAILABLE,4,Brazilian slang (bufunfa) but coined form looks made-up and hard to pronounce internationally.,NONE
Blefi,✓,✓,✓,✗,✓,✓,✓,✓,"UNCLEAR. Searches on sns.id/Blefi and bonfida.org show no registration info; no listings on Magic Eden/Tensor. [SNS.id](https://www.sns.id/?search=Blefi), [Bonfida](https://www.bonfida.org/)",UNCLEAR. freename.io/search?query=Blefi inaccessible. [Freename](https://freename.io/),"CLEAR. No live registrations found in classes 9,36,42. [USPTO TESS](https://tmsearch.uspto.gov/)","CLEAR. No live conflicts in classes 9,36,42. [EUIPO eSearch](https://euipo.europa.eu/eSearch/)",CLEAR. No live Brazilian trademark conflicts. [INPI Busca](https://busca.inpi.gov.br/pePI/),"CLEAR. No projects named Blefi on CoinMarketCap, CoinGecko, DeFiLlama. [CoinMarketCap](https://coinmarketcap.com/), [CoinGecko](https://www.coingecko.com/), [DeFiLlama](https://defillama.com/)","CLEAN. Top results: plant species Blechnum finlaysonianum (BLEFI), TI Bluetooth tech forum, YouTube playlist, typeface Blef. Mixed technical/misc, no dominant brand/slang/competitor. [Google Blefi](https://www.google.com/search?q=Blefi)","TAKEN (inactive account, joined 2011, 11 followers, no posts). [x.com/Blefi](https://x.com/Blefi)",AVAILABLE. No profile found. [instagram.com/Blefi](https://www.instagram.com/Blefi),"TAKEN (Airdrop channel in Arabic, 1 subscriber). [t.me/Blefi](https://t.me/Blefi)",4,"Coinage, phonetically thin, reads like a typo of 'blefe' (bluff in PT) — wrong signal for finance.",NONE
Bands,✗,✗,✗,✗,✓,✗,✓,✓,"UNCLEAR. No listings found on sns.id, bonfida.org, Magic Eden, or Tensor searches or direct checks. [sns.id](https://www.sns.id), [bonfida.org](https://bonfida.org)",UNCLEAR. freename.io search unavailable. [freename.io](https://freename.io),"CLEAR. No live registrations found in classes 9, 36, 42. [uspto.gov](https://www.uspto.gov)","CLEAR. No live conflicts found in classes 9, 36, 42. [euipo.europa.eu](https://euipo.europa.eu)",CLEAR. No live Brazilian trademark conflicts found. [inpi.gov.br](https://inpi.gov.br),"CLEAR. No existing token/protocol named ""Bands"" on CoinMarketCap, CoinGecko, DeFiLlama. [CoinMarketCap](https://coinmarketcap.com), [CoinGecko](https://www.coingecko.com), [DeFiLlama](https://defillama.com)","OCCUPIED (music/rock bands lists and rankings dominate page 1). [Google search ""Bands""](tool_calls/search_web/output_mo447twf.json)",TAKEN (likely music-related account). [twitter.com/bands](https://twitter.com/bands),TAKEN. [instagram.com/bands](https://www.instagram.com/bands),TAKEN. [t.me/Bands](https://t.me/Bands),6,Money slang for bundled cash; but dominant Google meaning is music — heavy SEO battle.,NONE
Stakz,✓,✗,✓,✗,✓,✗,✓,✓,"AVAILABLE ([sns.id](https://sns.id/?search=Stakz)), no listings found on marketplaces","UNCLEAR, no direct check possible","CLEAR, no results on uspto.gov for Stakz in classes 9,36,42","CLEAR, no results on euipo.europa.eu","CLEAR, no results on inpi.gov.br","CLEAR, no Stakz token/project on CoinMarketCap, CoinGecko, DeFiLlama","OCCUPIED (board game Stakz, DJ Stakz, frozen yogurt Stakz, rapper Stakz DeVito)",TAKEN (by levi groomes),"TAKEN (DJ STAKZ, 3M followers)",AVAILABLE,6,"Crypto-native (staking), memorable; the 'z' spelling is web3-coded but slightly cheap-looking.",NONE
Stacks,✗,✗,✗,✗,✗,✗,✗,✗,"AVAILABLE ([sns.id](https://sns.id/), [sns.id/resolver/stacks.sol](https://sns.id/resolver/stacks.sol))",UNCLEAR ([freename.io](https://freename.io)),CLEAR,CLEAR,CLEAR,"CONFLICT (Stacks blockchain STX [CoinMarketCap](https://coinmarketcap.com/currencies/stacks/), [DeFiLlama](https://defillama.com/chain/stacks), [CoinGecko](https://www.coingecko.com/en/coins/stacks))","OCCUPIED (restaurant chain [stacksrestaurant.com](https://www.stacksrestaurant.com), Yelp reviews)","TAKEN (Stacks blockchain crypto project, 230k followers)","TAKEN (personal account @realmoestacks, 88k followers)",TAKEN,3,"Direct conflict with Stacks Bitcoin L2 (STX, top-100 crypto) — disqualifying.","Direct conflict with Stacks Bitcoin L2 (STX, top-100 crypto token)"
Radis,✓,✗,✗,✗,✓,✗,✗,✓,"AVAILABLE ([sns.id](https://sns.id/radis.sol), [bonfida.org](https://bonfida.org/domains/radis.sol))",AVAILABLE ([freename.io](https://freename.io/)),CLEAR,CLEAR,CLEAR,CLEAR,"OCCUPIED (German village, radiation software RADIS, French for radish)",AVAILABLE,AVAILABLE,AVAILABLE,5,French slang for money (means 'radishes'); short and ownable but literal meaning is weird.,NONE
Plafi,✓,✓,✗,✗,✓,✗,✓,✓,"AVAILABLE. No evidence of registration found on sns.id, bonfida.org, Magic Eden, or Tensor searches. Specific pages like sns.id/search?domain=plafi and bonfida.org/names/plafi.sol not found (indicating availability). [sns.id](https://www.sns.id), [bonfida.org](https://www.bonfida.org)",AVAILABLE. No evidence found on freename.io searches. [freename.io](https://freename.io),"CLEAR. No live registrations found for Plafi in classes 9, 36, 42. [tmsearch.uspto.gov](https://tmsearch.uspto.gov)",CLEAR. No live EU trademarks found for Plafi. [euipo.europa.eu](https://euipo.europa.eu),CLEAR. No Brazilian trademarks found for Plafi. [busca.inpi.gov.br](https://busca.inpi.gov.br),"CLEAR. No Plafi token or protocol on CoinMarketCap, CoinGecko, DeFiLlama. [CoinMarketCap](https://coinmarketcap.com), [CoinGecko](https://www.coingecko.com), [DeFiLlama](https://defillama.com)","OCCUPIED (SAP table PLAFI, word unscrambler, small Youtube channel PlaFi plastic models, Slovenian pillow company plafi.si, furniture). [Google search Plafi](https://google.com/search?q=Plafi)","TAKEN (Plafi Lixeiras, Brazilian trash bins company, 45 followers, inactive). [x.com/plafi](https://x.com/plafi)",AVAILABLE. No account found at instagram.com/plafi. [instagram.com/plafi](https://instagram.com/plafi),AVAILABLE. No channel found at t.me/Plafi. [t.me/Plafi](https://t.me/Plafi),5,Coined; phonetic in all target languages but feels empty/arbitrary.,NONE
Graná,✗,✗,✗,✗,✓,✗,✓,✓,"AVAILABLE ([sns.id](https://sns.id/?q=Graná.sol), [Bonfida](https://bonfida.org/domains/Graná.sol) 404 no page, no listings on Magic Eden/Tensor)",UNCLEAR ([freename.io](https://freename.io/?search=Graná.solana) blocked),"CLEAR (no live marks found in USPTO searches for classes 9,36,42)","CLEAR (no conflicts found in EUIPO searches for classes 9,36,42)",CLEAR (no results in INPI Brazil searches),"CLEAR (no projects on CoinMarketCap, CoinGecko, DeFiLlama)","OCCUPIED (slang dictionary entries for Spanish/Portuguese 'grana' as scarlet color/seed/money slang, cheese type Grana)",AVAILABLE (x.com/Graná not found),AVAILABLE (instagram.com/Graná not found),TAKEN ([t.me/Graná](https://t.me/Graná)),4,Brazilian slang for money; the accent is a domain/handle killer and pronunciation trips non-PT speakers.,Accented character breaks domains/handles
Lanafi,✓,✓,✓,✗,✓,✓,✓,✓,"AVAILABLE ([sns.id](https://sns.id), [bonfida.org](https://bonfida.org))",UNCLEAR ([freename.io](https://freename.io)),CLEAR,CLEAR,CLEAR,CLEAR,"OCCUPIED (personal social profiles, merchant cash advance business lanafi.com [lanafi.com](https://lanafi.com), lab LaNaFi)","TAKEN (Aisetu, inactive profile [x.com/Lanafi](https://x.com/Lanafi))",TAKEN (brief note: personal accounts like lanafi.obf_1),UNCLEAR,6,'Lana' is Spanish/PT slang for money; adds -fi cleanly; decent international feel.,NONE
Guapfi,✓,✓,✓,✓,✓,✓,✓,✓,"AVAILABLE ([sns.id](https://sns.id), [bonfida.org](https://bonfida.org), no listings on marketplaces)",AVAILABLE ([freename.io](https://freename.io)),CLEAR,CLEAR,CLEAR,CLEAR,OCCUPIED (Guapi streetwear clothing brand),AVAILABLE,AVAILABLE (no notable profile),TAKEN (small Russian channel with 7 subscribers),6,Good multilingual root (guap/guapo) with -fi; reads as web3 sub-brand; slightly trend-dated suffix.,NONE
Floufi,✓,✓,✓,✓,✓,✓,✓,✓,"AVAILABLE ([sns.id](https://www.sns.id), [Bonfida](https://www.bonfida.org))",AVAILABLE ([freename.io](https://freename.io)),CLEAR,CLEAR ([EUIPO eSearch](https://euipo.europa.eu/eSearch/)),CLEAR ([INPI Brazil](https://www.gov.br/inpi/pt-br/servicos/marcas)),CLEAR,"CLEAN (minor personal profiles, music artist, dog character; no dominant brand or slang)",AVAILABLE,TAKEN (private profile),TAKEN,6,French slang root + -fi; pronounces well everywhere; sounds a bit cutesy.,NONE
Tutufi,✓,✓,✓,✓,✓,✓,✓,✓,"AVAILABLE ([sns.id](https://sns.id/search?q=tutufi), [bonfida.org](https://tutufi.sol))",AVAILABLE ([freename.io](https://freename.io/domains/tutufi.solana)),"CLEAR (no live registrations found in classes 9,36,42)",CLEAR (no live conflicts found),CLEAR (no live conflicts found),"CLEAR (no projects found on CoinMarketCap, CoinGecko, DeFiLlama)","CLEAN (social profiles, music tracks, gamer profile, Wikipedia historical figure; mixed unrelated results)","TAKEN (inactive profile @TutuFi, 0 followers, joined Jun 2021)",AVAILABLE,AVAILABLE,4,Brazilian slang (tutu) + -fi; reduplicative and ballet association ('tutu') dilutes finance signal.,NONE
Bloze,✓,✓,✓,✗,✓,✓,✓,✓,"AVAILABLE ([sns.id](https://sns.id/search?query=bloze), [v1.sns.id](https://v1.sns.id/?search=bloze), no listings on marketplaces)","AVAILABLE (no registration found, [freename.io](https://freename.io))","CLEAR (no live marks in classes 9,36,42 found [uspto.gov](https://tmsearch.uspto.gov))",CLEAR (no conflicts found [euipo.europa.eu](https://euipo.europa.eu)),CLEAR (no live conflicts found [inpi.gov.br](https://inpi.gov.br)),CLEAR (no Bloze token/project on CMC/CG/DefiLlama),"CLEAN (minor: song, UK company, dictionary entry, TV series, genealogy)","TAKEN (inactive user blouze, 2 followers [x.com/bloze](https://x.com/bloze))","TAKEN (0 posts, 9 followers [instagram.com/bloze](https://www.instagram.com/bloze))",AVAILABLE (no channel found),4,"Coined; uncommon phonetics, no inherent meaning, visually close to 'blaze' (drug slang).",Phonetically close to 'blaze' (cannabis slang)
